Defining Site,Latitude,Longitude,Elevation,Land Use,Location Setting,State Name,County Name,County Code,City Name,CBSA Name
06-001-6003,37.69875,-121.91331000000001,102.0,RESIDENTIAL,SUBURBAN,California,Alameda,1,Pleasanton,"San Francisco-Oakland-Hayward, CA"
06-001-6004,37.689615,-121.63191599999999,526.0,RESIDENTIAL,RURAL,California,Alameda,1,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-003-1001,38.796194,-119.751861,1646.0,RESIDENTIAL,RURAL,California,Alpine,3,Not in a City,
06-005-0002,38.342605999999996,-120.764426,377.0,COMMERCIAL,SUBURBAN,California,Amador,5,Jackson,
06-005-0010,38.288804999999996,-120.910772,90.0,COMMERCIAL,RURAL,California,Amador,5,Jackson,
06-005-0011,38.294916,-120.91382800000001,90.0,COMMERCIAL,RURAL,California,Amador,5,Jackson,
06-005-1033,38.690661999999996,-120.072754,2366.1620000000003,FOREST,RURAL,California,Amador,5,Not in a City,
06-007-0001,39.73515,-121.841897,599.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Butte,7,Chico,"Chico, CA"
06-007-0002,39.757371,-121.843286,62.0,COMMERCIAL,SUBURBAN,California,Butte,7,Not in a City,"Chico, CA"
06-007-0003,39.733494,-121.8472,40.0,RESIDENTIAL,SUBURBAN,California,Butte,7,Chico,"Chico, CA"
06-007-0004,39.316556,-121.667749,0.0,AGRICULTURAL,RURAL,California,Butte,7,Gridley,"Chico, CA"
06-007-0005,39.729327000000005,-121.84331100000001,60.0,MOBILE,URBAN AND CENTER CITY,California,Butte,7,Chico,"Chico, CA"
06-007-0006,39.776551,-121.607473,0.0,RESIDENTIAL,RURAL,California,Butte,7,Paradise,"Chico, CA"
06-007-0007,39.708453999999996,-121.617309,0.0,COMMERCIAL,RURAL,California,Butte,7,Not in a City,"Chico, CA"
06-007-0008,39.76168,-121.84047,1.0,COMMERCIAL,SUBURBAN,California,Butte,7,Chico,"Chico, CA"
06-007-1001,39.512386,-121.55524799999999,53.0,COMMERCIAL,URBAN AND CENTER CITY,California,Butte,7,Oroville,"Chico, CA"
06-007-2001,39.751273,-121.62052800000001,534.0,MOBILE,SUBURBAN,California,Butte,7,Paradise,"Chico, CA"
06-007-2002,39.77919,-121.59135,534.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Butte,7,Paradise,"Chico, CA"
06-007-3001,39.402944,-121.719974,0.0,AGRICULTURAL,RURAL,California,Butte,7,Biggs,"Chico, CA"
06-007-4001,39.327563,-121.668811,0.0,AGRICULTURAL,RURAL,California,Butte,7,Not in a City,"Chico, CA"
06-009-0001,38.20185,-120.680277,0.0,AGRICULTURAL,RURAL,California,Calaveras,9,San Andreas,
06-011-0001,39.202946000000004,-122.017751,25.0,RESIDENTIAL,RURAL,California,Colusa,11,Colusa,
06-011-0002,39.202946000000004,-122.018028,25.0,,,California,Colusa,11,Colusa,
06-011-0007,39.021221000000004,-122.281803,696.0,FOREST,RURAL,California,Colusa,11,Cortina Indian Rancheria,
06-011-1001,39.012396,-122.092471,43.0,AGRICULTURAL,RURAL,California,Colusa,11,Arbuckle,
06-011-1002,39.18919,-121.99887,17.0,COMMERCIAL,RURAL,California,Colusa,11,Colusa,
06-013-0001,37.886869,-122.02746200000001,32.0,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,Concord,"San Francisco-Oakland-Hayward, CA"
06-013-0002,37.936013,-122.026154,26.0,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,Concord,"San Francisco-Oakland-Hayward, CA"
06-013-0003,37.949923999999996,-122.357193,23.0,COMMERCIAL,SUBURBAN,California,Contra Costa,13,Richmond,"San Francisco-Oakland-Hayward, CA"
06-013-0004,37.957423999999996,-122.370249,7.0,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,North Richmond,"San Francisco-Oakland-Hayward, CA"
06-013-0005,37.926162,-122.38556100000001,2.0,COMMERCIAL,SUBURBAN,California,Contra Costa,13,Richmond,"San Francisco-Oakland-Hayward, CA"
06-013-0006,37.948172,-122.364852,6.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Richmond,"San Francisco-Oakland-Hayward, CA"
06-013-0007,38.034331,-122.27033600000001,12.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Rodeo,"San Francisco-Oakland-Hayward, CA"
06-013-0008,37.936,-122.0262,27.0,COMMERCIAL,SUBURBAN,California,Contra Costa,13,Concord,"San Francisco-Oakland-Hayward, CA"
06-013-0010,38.031221,-122.13287700000001,36.0,COMMERCIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Crockett,"San Francisco-Oakland-Hayward, CA"
06-013-1001,38.05492,-122.23322900000001,76.0,INDUSTRIAL,SUBURBAN,California,Contra Costa,13,Crockett,"San Francisco-Oakland-Hayward, CA"
06-013-1002,38.006311,-121.64191799999999,-2.0,AGRICULTURAL,RURAL,California,Contra Costa,13,Bethel Island,"San Francisco-Oakland-Hayward, CA"
06-013-1003,37.9642,-122.3403,15.0,COMMERCIAL,URBAN AND CENTER CITY,California,Contra Costa,13,San Pablo,"San Francisco-Oakland-Hayward, CA"
06-013-1004,37.9604,-122.35681100000001,20.0,COMMERCIAL,URBAN AND CENTER CITY,California,Contra Costa,13,San Pablo,"San Francisco-Oakland-Hayward, CA"
06-013-2001,38.012816,-122.13446699999999,8.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Martinez,"San Francisco-Oakland-Hayward, CA"
06-013-2002,37.936842999999996,-122.355773,15.0,COMMERCIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Richmond,"San Francisco-Oakland-Hayward, CA"
06-013-2003,38.0096,-121.8211,2.1,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-013-2004,38.0066,-122.0908,4.3,COMMERCIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Martinez,"San Francisco-Oakland-Hayward, CA"
06-013-2005,37.90872,-122.071,59.8,COMMERCIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Walnut Creek,"San Francisco-Oakland-Hayward, CA"
06-013-2006,38.0106,-122.0291,18.0,COMMERCIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Concord,"San Francisco-Oakland-Hayward, CA"
06-013-2007,37.743649,-121.93418799999999,119.0,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,San Ramon,"San Francisco-Oakland-Hayward, CA"
06-013-3001,38.029258,-121.89686599999999,2.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Pittsburg,"San Francisco-Oakland-Hayward, CA"
06-013-4001,37.926567999999996,-122.07826599999999,38.0,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,Pleasant Hill (Pleasant Hills),"San Francisco-Oakland-Hayward, CA"
06-013-5001,37.931566,-122.334383,15.0,,,California,Contra Costa,13,Richmond,"San Francisco-Oakland-Hayward, CA"
06-013-6001,37.9395,-122.02963999999999,24.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Concord,"San Francisco-Oakland-Hayward, CA"
06-013-6002,37.94311,-121.89116999999999,577.0,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-013-6003,37.961859999999994,-122.42333,70.0,RESIDENTIAL,SUBURBAN,California,Contra Costa,13,Richmond,"San Francisco-Oakland-Hayward, CA"
06-013-6004,37.91478,-122.33793999999999,1.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Contra Costa,13,Richmond,"San Francisco-Oakland-Hayward, CA"
06-013-6005,37.7436,-121.9341,119.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Contra Costa,13,San Ramon,"San Francisco-Oakland-Hayward, CA"
06-015-0001,41.752893,-124.199525,10.0,COMMERCIAL,RURAL,California,Del Norte,15,Crescent City,"Crescent City, CA"
06-015-0002,41.560952,-124.083964,235.0,FOREST,RURAL,California,Del Norte,15,Redwood National Park,"Crescent City, CA"
06-015-0003,41.845113,-123.979242,119.0,COMMERCIAL,RURAL,California,Del Norte,15,Gasquet,"Crescent City, CA"
06-015-0004,41.757059000000005,-124.201748,0.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Del Norte,15,Crescent City,"Crescent City, CA"
06-015-0005,41.833168,-123.967853,122.0,FOREST,RURAL,California,Del Norte,15,Gasquet,"Crescent City, CA"
06-015-0006,41.7644,-124.1998,15.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Del Norte,15,Crescent City,"Crescent City, CA"
06-015-0007,41.75613,-124.20347,13.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Del Norte,15,Crescent City,"Crescent City, CA"
06-015-2003,41.513803,-123.996283,13.0,RESIDENTIAL,RURAL,California,Del Norte,15,Klamath,"Crescent City, CA"
06-017-0001,38.90518,-120.013224,0.0,,,California,El Dorado,17,Not in a City,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0002,38.727681,-120.826047,582.0,MOBILE,SUBURBAN,California,El Dorado,17,Placerville,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0004,38.916575,-120.001015,1904.0,RESIDENTIAL,SUBURBAN,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0005,38.941019,-119.94268100000001,1910.0,COMMERCIAL,URBAN AND CENTER CITY,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0006,38.941575,-119.959347,1907.0,RESIDENTIAL,SUBURBAN,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0007,38.949908,-119.95101399999999,1920.0,COMMERCIAL,SUBURBAN,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0008,38.932964,-119.96768200000001,1920.0,MOBILE,SUBURBAN,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0009,38.945741,-119.96795900000001,1911.0,COMMERCIAL,URBAN AND CENTER CITY,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0010,38.725282,-120.82191599999999,585.0,RESIDENTIAL,SUBURBAN,California,El Dorado,17,Placerville,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0011,38.944979,-119.97060900000001,1905.0,COMMERCIAL,URBAN AND CENTER CITY,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0012,38.811609999999995,-120.033084,2250.0,FOREST,RURAL,California,El Dorado,17,Not in a City,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0013,38.910188,-119.99629499999999,1.0,INDUSTRIAL,RURAL,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-0020,38.890941,-121.003373,0.0,AGRICULTURAL,RURAL,California,El Dorado,17,Not in a City,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-1002,38.953796999999994,-119.939903,1902.0,COMMERCIAL,URBAN AND CENTER CITY,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-2002,38.673792999999996,-120.94216200000001,462.0,RESIDENTIAL,RURAL,California,El Dorado,17,Shingle Springs,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-2003,38.842126,-120.40763100000001,1.0,BLIGHTED AREAS,RURAL,California,El Dorado,17,Riverton,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-9000,38.976,-120.10350600000001,2131.0,FOREST,RURAL,California,El Dorado,17,Not in a City,"Sacramento--Roseville--Arden-Arcade, CA"
06-017-9001,38.9248,-119.97,1935.0,FOREST,RURAL,California,El Dorado,17,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA"
06-019-0001,36.145789,-120.35931599999999,213.0,RESIDENTIAL,SUBURBAN,California,Fresno,19,Coalinga,"Fresno, CA"
06-019-0002,36.737171999999994,-119.753754,91.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0003,36.736334,-119.788746,114.0,COMMERCIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0004,36.736334,-119.788746,88.0,COMMERCIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0005,36.725228,-119.751254,91.0,RESIDENTIAL,SUBURBAN,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0006,36.837447999999995,-119.85126100000001,98.0,,,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0007,36.705474,-119.741332,89.0,COMMERCIAL,SUBURBAN,California,Fresno,19,Not in a City,"Fresno, CA"
06-019-0008,36.781333000000004,-119.77318999999999,96.0,RESIDENTIAL,SUBURBAN,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0009,36.808838,-119.792923,90.0,COMMERCIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0010,37.13828,-119.267624,0.0,FOREST,RURAL,California,Fresno,19,Shaver Lake,"Fresno, CA"
06-019-0011,36.785379999999996,-119.77321,96.0,COMMERCIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0239,36.738005,-119.791256,139.0,RESIDENTIAL,SUBURBAN,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0240,36.668839,-119.694304,91.0,RESIDENTIAL,SUBURBAN,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0241,36.813561,-119.74125500000001,121.0,RESIDENTIAL,SUBURBAN,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0242,36.841592,-119.87473899999999,65.0,RESIDENTIAL,SUBURBAN,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0243,36.767168,-119.82848100000001,1.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0244,36.803009,-119.77014799999999,1.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA"
06-019-0500,36.985119,-119.65833899999998,207.0,AGRICULTURAL,RURAL,California,Fresno,19,Not in a City,"Fresno, CA"
06-019-1001,36.868282,-120.462675,44.0,UNKNOWN,UNKNOWN,California,Fresno,19,Firebaugh,"Fresno, CA"
06-019-1002,36.341062,-120.105699,87.0,AGRICULTURAL,RURAL,California,Fresno,19,Five Points,"Fresno, CA"
06-019-1003,37.112446999999996,-119.31345900000001,1707.0,UNKNOWN,RURAL,California,Fresno,19,Shaver Lake,"Fresno, CA"
06-019-2001,36.737167,-119.787912,104.0,,,California,Fresno,19,Fresno,"Fresno, CA"
06-019-2008,36.198671999999995,-120.101096,113.08,RESIDENTIAL,RURAL,California,Fresno,19,Huron,"Fresno, CA"
06-019-2009,36.634225,-120.38233100000001,58.83,AGRICULTURAL,RURAL,California,Fresno,19,Not in a City,"Fresno, CA"
06-019-2016,36.710833,-119.7775,87.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA"
06-019-3001,36.60245,-119.50873700000001,108.0,AGRICULTURAL,RURAL,California,Fresno,19,Not in a City,"Fresno, CA"
06-019-3002,36.607171,-119.540683,0.0,AGRICULTURAL,URBAN AND CENTER CITY,California,Fresno,19,Parlier,"Fresno, CA"
06-019-4001,36.597442,-119.50365900000001,78.0,,,California,Fresno,19,Parlier,"Fresno, CA"
06-019-5001,36.819449,-119.71643300000001,86.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Fresno,19,Clovis,"Fresno, CA"
06-019-5025,36.72639,-119.73299999999999,100.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Fresno,19,Fresno,"Fresno, CA"
06-019-9000,37.22064,-119.155557,2598.0,FOREST,RURAL,California,Fresno,19,Not in a City,"Fresno, CA"
06-021-0001,39.520993,-122.209705,41.0,RESIDENTIAL,SUBURBAN,California,Glenn,21,Willows,
06-021-0002,39.51766,-122.19137099999999,41.0,MOBILE,SUBURBAN,California,Glenn,21,Willows,
06-021-0003,39.53387,-122.19083400000001,1.0,AGRICULTURAL,SUBURBAN,California,Glenn,21,Not in a City,
06-023-0001,40.77596,-124.19006200000001,20.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Humboldt,23,Eureka,"Eureka-Arcata-Fortuna, CA"
06-023-0002,40.869017,-124.08506200000001,16.0,COMMERCIAL,URBAN AND CENTER CITY,California,Humboldt,23,Arcata,"Eureka-Arcata-Fortuna, CA"
06-023-0003,40.791515999999994,-124.17506200000001,63.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Humboldt,23,Eureka,"Eureka-Arcata-Fortuna, CA"
06-023-0005,40.791515999999994,-124.17783999999999,30.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Humboldt,23,Eureka,"Eureka-Arcata-Fortuna, CA"
06-023-0006,41.047117,-123.675233,1.0,FOREST,SUBURBAN,California,Humboldt,23,Not in a City,"Eureka-Arcata-Fortuna, CA"
06-023-0010,40.884572999999996,-123.99256000000001,0.0,COMMERCIAL,RURAL,California,Humboldt,23,Blue Lake,"Eureka-Arcata-Fortuna, CA"
06-023-1001,41.049847,-124.15118000000001,53.0,UNKNOWN,RURAL,California,Humboldt,23,Trinidad,"Eureka-Arcata-Fortuna, CA"
06-023-1002,40.80178,-124.1621,17.0,COMMERCIAL,URBAN AND CENTER CITY,California,Humboldt,23,Eureka,"Eureka-Arcata-Fortuna, CA"
06-023-1003,41.050125,-124.138958,108.0,RESIDENTIAL,RURAL,California,Humboldt,23,Trinidad,"Eureka-Arcata-Fortuna, CA"
06-023-1004,40.77678,-124.17948999999999,21.0,RESIDENTIAL,SUBURBAN,California,Humboldt,23,Eureka,"Eureka-Arcata-Fortuna, CA"
06-023-1005,40.71528,-124.20138999999999,172.0,RESIDENTIAL,RURAL,California,Humboldt,23,Not in a City,"Eureka-Arcata-Fortuna, CA"
06-023-2001,41.288999999999994,-123.85700000000001,150.0,FOREST,RURAL,California,Humboldt,23,Not in a city,"Eureka-Arcata-Fortuna, CA"
06-023-2002,41.191944,-123.690278,100.0,RESIDENTIAL,RURAL,California,Humboldt,23,Not in a City,"Eureka-Arcata-Fortuna, CA"
06-023-7001,40.883641,-123.99843,6.5,RESIDENTIAL,RURAL,California,Humboldt,23,Not in a City,"Eureka-Arcata-Fortuna, CA"
06-025-0001,32.979213,-115.530267,34.0,COMMERCIAL,URBAN AND CENTER CITY,California,Imperial,25,Brawley,"El Centro, CA"
06-025-0002,33.019211,-115.54026599999999,0.0,AGRICULTURAL,RURAL,California,Imperial,25,Brawley,"El Centro, CA"
06-025-0003,32.978379,-115.53415600000001,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Imperial,25,Brawley,"El Centro, CA"
06-025-0004,32.673947999999996,-115.50388400000001,0.0,RESIDENTIAL,SUBURBAN,California,Imperial,25,Calexico,"El Centro, CA"
06-025-0005,32.67618,-115.48307,1.0,RESIDENTIAL,SUBURBAN,California,Imperial,25,Calexico,"El Centro, CA"
06-025-0006,32.677833,-115.39054399999999,0.0,MOBILE,RURAL,California,Imperial,25,Calexico,"El Centro, CA"
06-025-0007,32.97833,-115.53917,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Imperial,25,Brawley,"El Centro, CA"
06-025-1001,32.664226,-115.50638400000001,0.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Imperial,25,Calexico,"El Centro, CA"
06-025-1002,32.792278,-115.56582900000001,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Imperial,25,El Centro,"El Centro, CA"
06-025-1003,32.79222,-115.56306000000001,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Imperial,25,El Centro,"El Centro, CA"
06-025-2001,33.177818,-115.610824,0.0,AGRICULTURAL,RURAL,California,Imperial,25,Calipatria,"El Centro, CA"
06-025-3001,32.793389000000005,-115.563051,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Imperial,25,El Centro,"El Centro, CA"
06-025-4001,33.118934,-115.81638899999999,0.0,AGRICULTURAL,RURAL,California,Imperial,25,Westmorland,"El Centro, CA"
06-025-4002,32.738935999999995,-114.63578600000001,0.0,AGRICULTURAL,RURAL,California,Imperial,25,Winterhaven,"El Centro, CA"
06-025-4003,33.0325,-115.62361000000001,0.0,AGRICULTURAL,RURAL,California,Imperial,25,Westmorland,"El Centro, CA"
06-025-4004,33.213611,-115.54528,0.0,DESERT,RURAL,California,Imperial,25,Not in a City,"El Centro, CA"
06-027-0001,37.35354,-118.400943,1260.0,MOBILE,URBAN AND CENTER CITY,California,Inyo,27,Bishop,"Bishop, CA"
06-027-0002,37.360684,-118.33078300000001,1257.0,AGRICULTURAL,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0003,36.267441,-117.598124,1410.0,,RURAL,California,Inyo,27,Darwin,"Bishop, CA"
06-027-0004,36.609003,-118.057809,1128.0,RESIDENTIAL,SUBURBAN,California,Inyo,27,Lone Pine,"Bishop, CA"
06-027-0005,36.8166,-118.211207,1196.0,DESERT,RURAL,California,Inyo,27,Independence,"Bishop, CA"
06-027-0006,36.904933,-118.23982,1170.0,UNKNOWN,RURAL,California,Inyo,27,Independence,"Bishop, CA"
06-027-0007,37.433262,-118.370944,1257.0,UNKNOWN,RURAL,California,Inyo,27,Bishop,"Bishop, CA"
06-027-0008,36.783265,-118.150926,1174.0,UNKNOWN,RURAL,California,Inyo,27,Independence,"Bishop, CA"
06-027-0009,36.783821,-118.151204,1174.0,UNKNOWN,UNKNOWN,California,Inyo,27,Independence,"Bishop, CA"
06-027-0010,37.024377,-118.225932,1173.0,UNKNOWN,RURAL,California,Inyo,27,Big Pine,"Bishop, CA"
06-027-0011,37.177152,-118.233989,1234.0,AGRICULTURAL,RURAL,California,Inyo,27,Big Pine,"Bishop, CA"
06-027-0012,36.281605,-118.00563799999999,1097.0,,,California,Inyo,27,Olancha,"Bishop, CA"
06-027-0014,37.36104,-118.394276,0.0,COMMERCIAL,SUBURBAN,California,Inyo,27,Bishop,"Bishop, CA"
06-027-0015,37.360762,-118.39483200000001,1256.0,COMMERCIAL,URBAN AND CENTER CITY,California,Inyo,27,Bishop,"Bishop, CA"
06-027-0016,36.275495,-117.99063799999999,1097.0,AGRICULTURAL,RURAL,California,Inyo,27,Olancha,"Bishop, CA"
06-027-0017,37.364096,-118.395665,1256.0,COMMERCIAL,URBAN AND CENTER CITY,California,Inyo,27,Bishop,"Bishop, CA"
06-027-0018,35.799673,-117.872294,766.0,RESIDENTIAL,RURAL,California,Inyo,27,Pearsonville,"Bishop, CA"
06-027-0019,36.607556,-118.04770900000001,0.0,DESERT,RURAL,California,Inyo,27,Lone Pine,"Bishop, CA"
06-027-0020,36.057185,-117.861369,0.0,DESERT,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0021,36.267536,-117.993002,1121.4,DESERT,RURAL,California,Inyo,27,Olancha,"Bishop, CA"
06-027-0022,36.326172,-117.95512,0.0,DESERT,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0023,36.280597,-118.011661,1119.0,DESERT,RURAL,California,Inyo,27,Olancha,"Bishop, CA"
