,DefiningSite,Latitude,Longitude,Elevation,LandUse,LocationSetting,StateName,CountyName,CountyCode,City,CBSAName,Time,Date,CurrentAQIValue,CurrentPollutant
174,06-059-8001,33.750573,-117.870333,63,COMMERCIAL,URBAN AND CENTER CITY,California,Orange,59,Santa Ana,"Los Angeles-Long Beach-Anaheim, CA",12 PM PST, Mar 13,63,PM2.5
175,06-061-0001,38.93712,-121.109391,372,AGRICULTURAL,RURAL,California,Placer,61,Auburn,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,35,OZONE
176,06-061-0004,39.100174,-120.953832,768,RESIDENTIAL,SUBURBAN,California,Placer,61,Colfax,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,37,OZONE
177,06-061-0005,39.166851,-120.145747,1902,MOBILE,URBAN AND CENTER CITY,California,Placer,61,Tahoe City,"Sacramento--Roseville--Arden-Arcade, CA",11 AM PST, Mar 13,22,PM2.5
178,06-061-0006,38.74643,-121.26498,48,MOBILE,SUBURBAN,California,Placer,61,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,34,PM2.5
179,06-061-0810,38.791845,-121.209116,101,RESIDENTIAL,RURAL,California,Placer,61,Rocklin,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,34,PM2.5
180,06-061-1005,39.210463,-120.206584,1830,RESIDENTIAL,RURAL,California,Placer,61,Olympic Valley (Squaw Valley),"Sacramento--Roseville--Arden-Arcade, CA",11 AM PST, Mar 13,22,PM2.5
181,06-061-2001,38.889891,-121.307704,112,RESIDENTIAL,SUBURBAN,California,Placer,61,Lincoln,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,31,OZONE
186,06-065-0001,33.925865,-116.876137,729,COMMERCIAL,URBAN AND CENTER CITY,California,Riverside,65,Banning,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,48,PM2.5
187,06-065-0003,33.92145,-117.57244,220,RESIDENTIAL,URBAN AND CENTER CITY,California,Riverside,65,Norco,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,54,PM2.5
188,06-065-0004,34.007,-117.521,70,RESIDENTIAL,SUBURBAN,California,Riverside,65,Mira Loma,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,36,OZONE
189,06-065-0005,33.958348,-117.375878,294,AGRICULTURAL,RURAL,California,Riverside,65,Riverside,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,54,PM2.5
190,06-065-0006,33.491695,-117.146143,341,RESIDENTIAL,SUBURBAN,California,Riverside,65,Temecula,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,59,PM2.5
192,06-065-0008,33.7411,-115.8206,984,DESERT,RURAL,California,Riverside,65,Joshua Tree National Monument,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,42,OZONE
193,06-065-0500,33.71969,-116.1897,-8,COMMERCIAL,RURAL,California,Riverside,65,Indio,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,40,OZONE
194,06-065-1001,33.872807,-117.566433,219,COMMERCIAL,URBAN AND CENTER CITY,California,Riverside,65,Corona,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,54,PM2.5
195,06-065-1002,33.741688,-116.95919,469,MOBILE,SUBURBAN,California,Riverside,65,Hemet,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,59,PM2.5
196,06-065-1999,33.56125,-116.153383,10,AGRICULTURAL,RURAL,California,Riverside,65,Torres-Martinez I.R.,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,40,OZONE
197,06-065-2005,33.572019,-116.063823,-11,AGRICULTURAL,SUBURBAN,California,Riverside,65,Mecca,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,40,OZONE
198,06-065-3011,33.796533,-116.974417,459,RESIDENTIAL,RURAL,California,Riverside,65,San Jacinto,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,59,PM2.5
199,06-065-5001,33.85275,-116.54101,171,RESIDENTIAL,SUBURBAN,California,Riverside,65,Palm Springs,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,41,OZONE
200,06-065-6001,33.78942,-117.22764,439,COMMERCIAL,URBAN AND CENTER CITY,California,Riverside,65,Perris,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,59,PM2.5
201,06-065-8001,33.99958,-117.41601,250,RESIDENTIAL,SUBURBAN,California,Riverside,65,Rubidoux,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,54,PM2.5
202,06-065-9001,33.67649,-117.33098,1440,RESIDENTIAL,SUBURBAN,California,Riverside,65,Lake Elsinore,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,31,OZONE
203,06-067-0001,38.667126,-121.251338,52,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,34,PM2.5
204,06-067-0003,38.585183,-121.494677,29,MOBILE,URBAN AND CENTER CITY,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,31,OZONE
205,06-067-0006,38.613779,-121.368014,8,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Arden-Arcade,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,34,OZONE
206,06-067-0012,38.683304,-121.164457,98,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Folsom,"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,32,OZONE
207,06-067-3001,38.600461,-121.273839,34,COMMERCIAL,RURAL,California,Sacramento,67,Rancho Cordova (Mills),"Sacramento--Roseville--Arden-Arcade, CA",12 PM PST, Mar 13,34,OZONE
208,06-069-0001,36.85551,-121.39299,107,COMMERCIAL,SUBURBAN,California,San Benito,69,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",12 PM PST, Mar 13,50,PM2.5
209,06-071-0001,34.89398,-117.024804,690,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Barstow,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,40,OZONE
210,06-071-0003,34.107512,-117.276987,317,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,San Bernardino,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,45,PM2.5
212,06-071-0005,34.2431,-117.27235,1384,RESIDENTIAL,RURAL,California,San Bernardino,71,Crestline,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,36,OZONE
213,06-071-0006,35.759954,-117.374779,506,INDUSTRIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Trona,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,32,OZONE
216,06-071-0013,34.41056,-116.9072,1036,INDUSTRIAL,RURAL,California,San Bernardino,71,Lucerne Valley,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,36,OZONE
217,06-071-0014,34.512496,-117.330879,876,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Victorville,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,42,OZONE
218,06-071-0017,34.141946,-116.055836,607,MOBILE,URBAN AND CENTER CITY,California,San Bernardino,71,Twentynine Palms,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,40,OZONE
219,06-071-0025,34.037234,-117.690889,287,INDUSTRIAL,SUBURBAN,California,San Bernardino,71,Ontario,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,45,PM2.5
220,06-071-0101,34.119189,-117.640881,149,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,45,PM2.5
221,06-071-0109,34.572217,-117.192543,914,DESERT,RURAL,California,San Bernardino,71,Apple Valley,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,42,OZONE
222,06-071-0110,34.863876,-116.785589,587,DESERT,RURAL,California,San Bernardino,71,Daggett,"Riverside-San Bernardino-Ontario, CA",12 PM PST, Mar 13,40,OZONE
